ChaosVM CFG Summary
====================================================================================================

  FuncID | Entry PC | Blocks | Instructions | Has Loops | Has Try/Catch | Terminators
---------+----------+--------+--------------+-----------+---------------+------------------
      0 |    36579 |      3 |           93 |        no |           yes | jmp:1 throw:1 ret:1
      1 |        4 |      4 |           23 |       yes |            no | cjmp:2 ret:2
      2 |      198 |      1 |           12 |        no |            no | ret:1
      3 |      293 |      1 |           14 |        no |            no | ret:1
      4 |      350 |      8 |          217 |       yes |           yes | jmp:1 throw:2 ret:4 cjmp:1
      5 |      558 |     11 |           68 |       yes |           yes | cjmp:2 ret:1 jmp:6 throw:2
      6 |      623 |      1 |            9 |        no |            no | ret:1
      7 |      673 |      1 |            9 |        no |            no | ret:1
      8 |      772 |      7 |          192 |       yes |           yes | cjmp:2 ret:3 jmp:1 throw:1
     10 |     2029 |      1 |            9 |        no |            no | ret:1
     11 |     2250 |      3 |           22 |        no |            no | cjmp:1 ret:2
     12 |     2326 |      8 |          394 |       yes |           yes | cjmp:1 ret:2 throw:2 jmp:3
     13 |     4049 |      1 |            8 |        no |            no | ret:1
     14 |     4266 |      9 |           39 |       yes |           yes | cjmp:5 ret:3 throw:1
     15 |     4434 |      3 |           20 |        no |            no | cjmp:1 ret:2
     16 |     4954 |     20 |          151 |       yes |            no | cjmp:16 ret:4
     17 |     4992 |      5 |           33 |       yes |            no | cjmp:3 ret:2
     18 |     5086 |     11 |          160 |       yes |            no | cjmp:5 jmp:3 ret:3
     19 |     5140 |      5 |           70 |        no |            no | cjmp:2 ret:2 throw:1
     20 |     5197 |      1 |            2 |        no |            no | ret:1
     21 |     5221 |      1 |            4 |        no |            no | ret:1
     22 |     5356 |      4 |           50 |        no |           yes | jmp:2 throw:1 ret:1
     23 |     5930 |      1 |           20 |        no |            no | ret:1
     24 |     6114 |      3 |           81 |        no |           yes | ret:2 throw:1
     25 |     6436 |      1 |           20 |        no |            no | ret:1
     26 |     6527 |      1 |            9 |        no |            no | ret:1
     27 |     6577 |      7 |          154 |       yes |           yes | cjmp:3 ret:3 throw:1
     28 |     6719 |      1 |           23 |        no |            no | ret:1
     29 |     6941 |     13 |          120 |       yes |            no | cjmp:8 jmp:4 ret:1
     30 |     7009 |      6 |           56 |       yes |           yes | cjmp:2 ret:3 throw:1
     31 |     7084 |      2 |            9 |        no |            no | cjmp:1 ret:1
     33 |     7568 |      1 |            4 |        no |            no | ret:1
     34 |     7585 |      1 |            9 |        no |            no | ret:1
     35 |     7635 |      3 |           66 |       yes |            no | cjmp:1 ret:1 jmp:1
     36 |     7873 |      6 |          158 |       yes |            no | cjmp:2 ret:2 jmp:2
     37 |     8005 |      1 |           10 |        no |            no | ret:1
     40 |     9247 |      1 |            9 |        no |            no | ret:1
     41 |     9341 |      6 |           38 |       yes |            no | cjmp:4 ret:2
     43 |     9568 |      4 |           33 |       yes |            no | cjmp:2 ret:1 jmp:1
     44 |     9741 |      9 |           96 |       yes |           yes | cjmp:4 ret:3 throw:1 jmp:1
