ChaosVM Function Table — 270 valid functions, 22 invalid
================================================================================

  ID  | Entry PC | Creator PC | Opcode          | Arity | Captured Vars          | Valid
------+----------+------------+-----------------+-------+------------------------+------
   0  |    36579 |       main | (main entry)    |     — | []                     |   ✓
   1  |        4 |       9459 | FUNC_CREATE_C   |     1 | []                     |   ✓
   2  |      198 |      49907 | FUNC_CREATE_C   |     2 | []                     |   ✓
   3  |      293 |      36428 | FUNC_CREATE_C   |     1 | [r17]                  |   ✓
   4  |      350 |      42644 | FUNC_CREATE_C   |     0 | [r14]                  |   ✓
   5  |      558 |      50019 | FUNC_CREATE_C   |     2 | []                     |   ✓
   6  |      623 |      49507 | FUNC_CREATE_C   |     2 | []                     |   ✓
   7  |      673 |      49955 | FUNC_CREATE_C   |     2 | []                     |   ✓
   8  |      772 |      32493 | FUNC_CREATE_C   |     0 | []                     |   ✓
   9  |     1614 |       1573 | FUNC_CREATE_A   |   101 | [r118, r19, r18, r1... |   ✗
  10  |     2029 |      49747 | FUNC_CREATE_C   |     2 | []                     |   ✓
  11  |     2250 |      15796 | FUNC_CREATE_C   |     1 | [r36, r15, r14, r18... |   ✓
  12  |     2326 |      27789 | FUNC_CREATE_C   |     0 | []                     |   ✓
  13  |     4049 |      50056 | FUNC_CREATE_B   |     2 | []                     |   ✓
  14  |     4266 |       7930 | FUNC_CREATE_C   |     2 | []                     |   ✓
  15  |     4434 |      28050 | FUNC_CREATE_C   |     1 | [r13]                  |   ✓
  16  |     4954 |      41969 | FUNC_CREATE_C   |     2 | [r26, r8]              |   ✓
  17  |     4992 |      60770 | FUNC_CREATE_A   |     0 | []                     |   ✓
  18  |     5086 |       6561 | FUNC_CREATE_A   |     0 | []                     |   ✓
  19  |     5140 |      25928 | FUNC_CREATE_C   |     2 | []                     |   ✓
  20  |     5197 |      25181 | FUNC_CREATE_B   |     0 | []                     |   ✓
  21  |     5221 |      57980 | FUNC_CREATE_A   |     0 | []                     |   ✓
  22  |     5356 |      49619 | FUNC_CREATE_C   |     3 | []                     |   ✓
  23  |     5930 |      49832 | FUNC_CREATE_B   |     3 | []                     |   ✓
  24  |     6114 |      44145 | FUNC_CREATE_A   |     0 | []                     |   ✓
  25  |     6436 |      11755 | FUNC_CREATE_C   |     0 | [r15, r39]             |   ✓
  26  |     6527 |      49544 | FUNC_CREATE_B   |     2 | []                     |   ✓
  27  |     6577 |      31483 | FUNC_CREATE_C   |     0 | [r18, r8]              |   ✓
  28  |     6719 |      49539 | FUNC_CREATE_C   |     2 | []                     |   ✓
  29  |     6941 |      36634 | FUNC_CREATE_A   |     0 | []                     |   ✓
  30  |     7009 |       2063 | FUNC_CREATE_A   |     0 | []                     |   ✓
  31  |     7084 |      65487 | FUNC_CREATE_C   |     3 | [r18]                  |   ✓
  32  |     7408 |       7342 | FUNC_CREATE_A   |    70 | [r43, r11, r32, r33... |   ✗
  33  |     7568 |      41385 | FUNC_CREATE_A   |     0 | [r13]                  |   ✓
  34  |     7585 |      49560 | FUNC_CREATE_B   |     2 | []                     |   ✓
  35  |     7635 |      49683 | FUNC_CREATE_C   |     2 | []                     |   ✓
  36  |     7873 |      49447 | FUNC_CREATE_B   |     3 | [r11]                  |   ✓
  37  |     8005 |      49464 | FUNC_CREATE_B   |     3 | []                     |   ✓
  38  |     8390 |       8353 | FUNC_CREATE_A   | 24893 | [r116, r19, r15, r9... |   ✗
  39  |     8398 |      68553 | FUNC_CREATE_A   |     0 | [r23, r15]             |   ✗
  40  |     9247 |      49736 | FUNC_CREATE_B   |     2 | []                     |   ✓
  41  |     9341 |       4811 | FUNC_CREATE_C   |     2 | [r29, r28]             |   ✓
  42  |     9432 |      49731 | FUNC_CREATE_C   |     2 | []                     |   ✗
  43  |     9568 |      65516 | FUNC_CREATE_C   |     3 | [r87]                  |   ✓
  44  |     9741 |      48986 | FUNC_CREATE_C   |     1 | []                     |   ✓
  45  |     9760 |      49971 | FUNC_CREATE_C   |     3 | []                     |   ✓
  46  |    10721 |      49571 | FUNC_CREATE_C   |     2 | []                     |   ✓
  47  |    10866 |       1676 | FUNC_CREATE_C   |     1 | [r9]                   |   ✓
  48  |    10905 |      57187 | FUNC_CREATE_A   |     0 | [r10]                  |   ✓
