ChaosVM Control Flow Pattern Recognition Summary
====================================================================================================

Aggregate Statistics:
  Functions analyzed:    270
  Total blocks:          1066
  Blocks covered:        1066 (100.0%)
  Total patterns:        688
  Loops:                 29 (in 27 functions)
  If/If-else:            374
  If-chains:             0
  Short-circuits:        0
  Try-catch:             144 (in 66 functions)
  Sequences:             141

Per-Function Detail:
----------------------------------------------------------------------------------------------------
  FuncID | Blocks | Loops | If/Else | IfChain | Short |   Try |   Seq | Total
----------------------------------------------------------------------------------------------------
       0 |      3 |     0 |       0 |       0 |     0 |     1 |     0 |     1
       1 |      4 |     0 |       2 |       0 |     0 |     0 |     0 |     2
       2 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
       3 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
       4 |      8 |     0 |       1 |       0 |     0 |     4 |     0 |     5
       5 |     11 |     0 |       2 |       0 |     0 |     4 |     0 |     6
       6 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
       7 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
       8 |      7 |     0 |       2 |       0 |     0 |     2 |     0 |     4
      10 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
      11 |      3 |     0 |       1 |       0 |     0 |     0 |     0 |     1
      12 |      8 |     0 |       1 |       0 |     0 |     4 |     0 |     5
      13 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
      14 |      9 |     0 |       5 |       0 |     0 |     1 |     0 |     6
      15 |      3 |     0 |       1 |       0 |     0 |     0 |     0 |     1
      16 |     20 |     1 |      15 |       0 |     0 |     0 |     0 |    16
      17 |      5 |     0 |       3 |       0 |     0 |     0 |     0 |     3
      18 |     11 |     0 |       5 |       0 |     0 |     0 |     0 |     5
      19 |      5 |     0 |       2 |       0 |     0 |     0 |     0 |     2
      20 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
      21 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
      22 |      4 |     0 |       0 |       0 |     0 |     2 |     0 |     2
      23 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
      24 |      3 |     0 |       0 |       0 |     0 |     2 |     0 |     2
